student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,math_score,science_score,english_score,overall_score
1,14,male,public,post graduate,3.1,84.3,yes,<15 min,yes,42.7,55.4,57.0,53.1
2,18,female,public,graduate,3.7,87.8,yes,>60 min,no,57.6,68.8,64.8,61.3
3,17,female,private,post graduate,7.9,65.5,no,<15 min,no,84.8,95.0,79.2,89.6
4,16,other,public,high school,1.1,58.1,no,15-30 min,no,44.4,27.5,54.7,41.6
5,16,female,public,high school,1.3,61.0,yes,30-60 min,yes,8.9,32.7,30.0,25.4
6,19,male,public,no formal,3.8,69.6,yes,>60 min,yes,51.5,78.3,63.9,63.5
7,14,female,private,post graduate,1.8,81.6,yes,30-60 min,no,41.9,29.4,39.2,39.1
8,18,female,private,post graduate,5.6,59.4,yes,>60 min,yes,56.7,60.1,53.4,69.6
9,15,other,private,high school,3.2,89.6,yes,15-30 min,yes,54.1,59.5,38.3,55.2
10,14,female,public,diploma,6.8,62.4,yes,>60 min,no,71.9,70.4,81.3,69.6
11,17,female,private,graduate,6.1,90.5,yes,15-30 min,no,75.4,82.7,70.8,77.5
12,19,other,public,post graduate,4.0,96.2,yes,<15 min,yes,62.0,54.7,58.0,65.0
13,18,female,private,high school,6.8,58.2,yes,>60 min,no,75.1,80.5,56.2,73.6
14,18,other,public,diploma,1.3,95.9,yes,30-60 min,yes,33.6,26.8,50.0,42.5
15,18,other,public,high school,4.9,85.3,yes,<15 min,no,88.1,66.1,70.3,69.3
16,18,other,private,post graduate,5.0,94.4,yes,15-30 min,yes,66.4,76.9,76.1,73.7
17,17,other,private,phd,2.3,67.3,yes,<15 min,yes,63.1,46.3,57.1,53.5
18,14,female,public,post graduate,0.9,93.2,yes,15-30 min,yes,57.2,50.5,54.1,49.8
19,19,male,public,post graduate,4.5,73.8,yes,30-60 min,yes,38.7,69.9,58.3,59.2
20,16,female,public,post graduate,4.4,59.5,yes,<15 min,no,49.9,53.9,60.4,61.9
21,17,male,private,phd,5.4,99.8,yes,>60 min,no,84.9,77.6,77.6,81.3
22,16,female,public,diploma,2.1,97.4,yes,>60 min,yes,76.7,31.9,39.3,55.0
23,15,other,public,high school,1.8,56.2,no,30-60 min,yes,41.3,35.2,19.9,33.5
24,19,female,public,phd,7.8,72.8,yes,15-30 min,yes,100.0,100.0,100.0,94.6
25,18,male,public,no formal,1.4,99.3,yes,<15 min,no,38.9,31.2,57.3,41.4
26,17,male,private,diploma,8.0,77.4,yes,>60 min,no,100.0,87.7,69.3,92.5
